,review,shop_name
0,[薄荷]环境：太古里1115号，在太古里外围能看到他们家的百分墙，进到太古里就不好找了。几次想喝都是没有找到。这次算是下定决心，必须找到，最后的最后，鬼打墙般的绕了好几圈，终于功夫不负有心人！[服务铃]服务：店员推荐的西班牙拿铁☕️味道比较醇香浓郁，我主要喝美式，本来想要大杯，因为中杯的量相当于星巴克的二分之一小杯，但店员说想要浓郁口感的建议小杯。还有咖啡豆，也做了很好的推荐！「西班牙咖啡(冷)」下次选冰的，应该口感更好！「熱美式」口感适中，不苦，不酸。,% Arabica
1,特地来测试，是不是跟上海喝到的一样口感。武康路那一杯热拿铁的浓郁，很是惊艳早上十点，太古里刚开门，顺着gucci背后那条街直走，路过爱马仕一直往里，很好找。刚刚开门，不用排队，点单的小姐姐温柔而周到。喜欢拿铁不加糖，所以点了基础款，第一口热度满满，口感浓郁，作为一杯热奶咖，是完美的出品。有上海喝到的水准。店里有巨大的镜子，空间呈长方形，没人的时候拍拍照很好看。很快就人满为患了。打卡要趁早。拿铁大杯40，正常价格。来之前看了很多吐槽，个人来讲，今天这杯没有失望。,% Arabica
2,心心念念好久的店 今天终于打卡啦[薄荷]环境：环境没得说 白色装修看起来很纯净 超级舒服的感觉 牌照很好看哦 怕晒可以坐在里面 看着窗外的行人来来往往 [服务铃]服务：第一次来 小哥还是很热心的介绍 问了喜好之后给我做了推荐 服务一百昏💯🌟位置：说实话有点不太好找 瞎转了一大圈才找到 就在爱马仕背后的那一条小巷子 推荐冰拿铁咖啡 店里的咖啡基本上都是无糖的 喜欢这种无糖加奶的口味tips所有冰咖啡只有大杯型哦 抹茶拿铁一般般,% Arabica
3,开了这么久 终于喝到了 每次去看到暴多人就不想排队了  去年初在香港喝了这个 个人觉得也没有很惊艳 所以就不急着来打卡成都的了 可能现在独立咖啡馆都越来越重视豆子品质了 所以又不卖甜品 也不卖简餐的咖啡店 除了第一次打卡 感觉回头喝的顾客并不太多 杯型和普通连锁的比较 是出了名的小 所以商务性质来说 附近的CBD 白领日常应该也不太常喝 害 今天这个点评话太多啦 小哥说宽窄马上要开一家 会增加甜品 期待噢  btw 店员服务很nice,% Arabica
4,我可能是最后一批来打卡这家店的人了火了那么久现在才来感受他们的杯子好可爱啊（特别是最小号的那个）点单的时候我一直在感叹杯子还可爱好可爱服务小哥居然送了我一个哈哈哈哈哈（偷偷揣进包包带回家嘿嘿）周二人也算蛮多的，没什么空位，里外都坐满了人出餐速度还是挺快的美式选的单品豆，是我喜欢的味道，可能今天没进食的原因，喝了一半脑壳有点晕（空腹尽量不要喝黑咖啡）朋友点的西班牙拿铁，非常适合女生，甜甜的价格也很划算哦～,% Arabica
5,透过咖啡看世界%Arabica百分号咖啡 世界级网红店Logo是代表咖啡树的枝干和两颗果实全球的每家店都有自己 标志性的特色[薄荷]环境：成都太古里这家店在爱玛仕的后巷子里巷口有%标志 整体是很简洁明快的风格白色桌子 白色操作台 透明玻璃 一墙镜子[服务铃]服务：都是有自己Logo的咖啡机 每台都带有的杯量分大小杯 冷咖啡都是大杯量 会告知对客态度一般 可手机自助下单 人流量大「冰美式综合豆」大杯量 在点单时告知了 单品豆略有些酸选择了综合豆 整体觉得味儿偏淡 沒亮点「综合豆热拿铁」推荐小杯量的 香醇浓郁 很好喝的口感大杯量的浓缩与小杯的一样 多加了牛奶买了一大一小 有问店员区别 大杯太淡了～ ～ 此篇仅为此时此点的感受 ～ ～,% Arabica
6,打卡大名鼎鼎的%咖啡☕️香港长期排队的咖啡店开到成都啦越来越觉得成都很厉害了不用跑香港啦味道还是很不错了，很喜欢西班牙拿铁，这款算是招牌风味拿铁吧男士会觉得偏甜我就觉得很不错咖啡萃取也很香醇味道还是在线的觉对秒杀星爸爸不过考虑价格成都有非常棒的独立咖啡店50块的冰咖啡，这个夏天不太美温馨提示，店面很小，周末人太多，店内几乎没位子。外边太晒了。,% Arabica
7,%ARABICA太古里，爱马仕旁边的网红咖啡，喝过三次了，爱上了浓郁的深熟的阿拉比卡综合豆味道，据说全球14家店，源自日本东京……连续两天光临阿拉比卡，拿铁味道不错，环境风格很美，网上传的十多万一台的咖啡机，这里有两台，店铺不大，在爱马仕后面，很偏，但是去过一次就一定能找到！夏日炎炎，一杯冰拿铁能消暑提神，浓浓情谊，棉棉留香回味……,% Arabica
8,炎炎夏日，来杯% Arabica西班牙冰咖啡☕️吧，老早就想来打卡这家网红咖啡馆，据说这是风靡魔都、日本京都、香港的一家咖啡连锁，成都刚开业那会人有点多，一直没去拔草，刚好今天路过人不算多，刚好进去打卡，[薄荷]环境：店面呈狭长型，面积不算大，全落地玻璃窗，显得整个店堂很明亮，里面都是位置也不算多，找了一个靠近落地窗的位置，点上一杯咖啡，坐在那里，外面阳光明媚，蓝天白云，看着各路潮人路过，还是挺惬意的，但是随着来的人越来越多，这种短暂的宁静瞬间被打破[服务铃]服务：进门就点咖啡，然后隔一会凭票据去自行取咖啡☕️，咖啡制作的速度还是比较快。「西班牙咖啡(冷)」他家的招牌，点这个的时候，服务小生还提醒我会有点甜，实际喝第一口的时候感觉有点苦苦的，应该这款招牌用的是深烘培豆子，但由于奶泡足，苦中带点奶咖的甜，综合来说还是不错的。「冰美式综合豆」冰美式，纯咖系列，苦感更强一点，但美卡要的就是这个味，而且据说不加糖的美卡据说燃脂效果不错。,% Arabica
9,全国为数不多的网红奶茶咖啡店%（据我所知只有上海 香港 成都有 物以稀为贵）任谁都会被这个符号©️所吸引 很简单的一个符号 吸引了很多顾客的光顾 店里面主打咖啡 「西班牙咖啡(冷)」这个咖啡的味道就是纯正的拿铁 说实话要了一个L杯 但是他的分量类似于Starbucks M杯的份量 味道很一般 但是价格50 不一般「冰美式综合豆」店员推荐款 咖啡豆味道并没有店里面现磨豆时候的那种浓郁 手冲咖啡 很淡 不如Luckin coffee的冰美式 价格35 但是瑞幸常年用券7元总的来说 奔着网红咖啡喝了一次 不想再有第二次 从性价比 味道来说 真的不值得…………🏡地址：太古里爱马仕背后 💰费用：人均40→一般消费性价比：低LOW,% Arabica
