word,frequence
网红,1153
太古里,1023
西班牙铁,959
冰铁,649
燕麦奶,459
喝咖啡,406
红店,382
红咖啡,324
燕麦铁,281
西班牙咖啡,278
星爸爸,249
奶味,225
抹茶铁,221
综合豆,213
西班牙冰,208
咖啡味道,206
红咖啡店,204
杯咖啡,203
铁燕麦,184
咖啡味,178
杯西班牙,173
装修风格,163
薄荷环境,155
咖啡冷,153
个人觉得,148
杯冰,146
味道不错,145
服务服务,129
不用排队,122
加炼乳,119
成都太古,119
推荐西班牙,119
打卡网,117
喜欢喝,114
性价比高,113
成都开,112
适合拍照,112
单品豆,110
热铁,107
没有排队,103
丝滑,101
喝起来,99
想喝,91
明治牛奶,90
有点贵,90
偏贵,90
刚开业,88
偏甜,86
买杯,85
咖啡铁,84
招牌西班牙,84
冰美式,82
杯铁,79
买了杯,78
很好找,76
开到成都,74
喝口,74
成都店,74
铁西班牙,72
极简,72
终于成都,71
朋友说,71
奶泡,71
咖啡爱好者,70
冰咖啡,69
冰西班牙,69
没有惊艳,69
杯热,68
位置太古,67
喝杯,66
太甜,66
喜欢咖啡,63
口感不错,63
喝西班牙,61
没有想象,61
咖啡口感,61
铁好喝,59
哥哥姐姐,59
需要排队,59
西班牙燕麦,59
星巴克好喝,59
店面不大,58
味道没有,57
中杯,57
没排队,57
喜茶,56
红打卡,56
没有特别,55
做咖啡,55
疫情期间,54
略贵,54
奶香,54
拿到咖啡,54
只能说,54
比较喜欢,54
环境不错,53
美式咖啡,53
之前上海,53
终于打卡,53
价格有点,52
杯型,52
冰拿铁咖啡,52
想象中,52
巷子里,51
排小时,51
价格偏,51
换燕麦,50
很好喝,49
不会再,49
排很久,49
真的好喝,49
奶铁,48
好喝咖啡,48
味比较,48
很顺滑,48
一家网,47
太喜欢,47
味道真的,47
店装修,47
杯价格,46
比较少,46
应该不会,46
铁口感,46
咖啡喝,46
排队,46
味道浓郁,45
秒杀星,45
咖啡真的,45
排队小时,44
取咖啡,44
杯燕麦,44
之前香港,44
更好喝,44
咖啡好喝,44
大众点评,43
喝冰,43
铁冰,43
普通铁,43
丢丢,43
爱马仕背后,42
确实不错,42
排队时间,42
换成燕麦,42
比较偏,41
没喝,41
简约风,41
性冷淡风,41
开在太古,41
咖啡没有,41
豆奶铁,40
极简风,40
最好喝,40
推荐冰,40
个人喜欢,40
价格略,39
里店,39
位置比较,39
排队排,39
奶咖,39
咖啡香味,39
价格小贵,39
味浓郁,39
气泡水,39
喝铁,39
买咖啡,38
里里面,38
体验感,38
新开,38
有点偏,38
拍照打卡,38
铁真的,38
逛太古,38
价格确实,38
十分钟,38
打卡拍照,38
店员说,37
一家咖啡店,37
拿到手,37
排队买,37
热西班牙,37
牛奶明治,37
豆热,37
一家店,37
抹茶味,37
真的太,36
喝热,36
混合豆,36
有点甜,36
送杯,36
知道是不是,35
再喝,35
店面装修,35
不好喝,35
位置很好,35
没必要,35
星巴克贵,35
挺好喝,35
日本京都,35
加燕麦,34
店里面,34
拍照好看,34
环境太古,34
店员推荐,34
开一家,33
爱马仕后面,33
店打卡,33
铁抹茶,33
杯杯,33
喝美式,33
特饮,33
大概小时,33
味道比较,33
觉得有点,33
味重,33
价格便宜,33
杯美式,33
比较重,33
服务很好,33
咖啡奶,33
豆单品,32
不太好找,32
感觉不错,32
觉得咖啡,32
没喝过,32
终于开到,32
白色为主,32
完全没有,31
里网,31
喜欢甜,31
口感比较,31
本来想,31
里爱马仕,31
爸爸贵,31
服务不错,31
咖啡价格,31
终于卡,31
扫码,31
环境环境,31
味道确实,30
铁味道,30
喜欢味道,30
卖咖啡,30
爱喝,30
味道还行,30
跟着导航,30
装修简洁,30
比较淡,29
杯抹茶,29
爸爸好喝,29
排队大概,29
很久队,29
打包带走,29
成都终于,29
上海喝过,29
有点失望,29
终于开业,29
铁喝,29
环境装修,29
觉得不错,29
咖啡口味,29
铁美式,29
爸爸西班牙,28
真的不错,28
朋友推荐,28
口感顺滑,28
比较快,28
不好找,28
位置有点,28
独立咖啡店,27
西班牙铁加,27
速度很快,27
觉得好喝,27
简约风格,27
开店,27
外摆,27
觉得性价比,27
香港喝过,27
价格贵,27
排队拿到,27
咖啡不错,27
没觉得,27
铁热,27
冰燕麦,27
偏淡,27
想象中的,27
咖啡品质,27
店里装修,26
纱帽街,26
觉得味道,26
没想到成都,26
成都咖啡店,26
比较高,26
店铺装修,26
铁杯,26
探店,26
服务态度很好,26
感觉没有,26
坐下来,26
美式综合,26
装修简约,26
懂咖啡,26
里开,26
铁换燕麦,26
成都咖啡,26
味很重,25
比较浓郁,25
整体装修,25
成都喝,25
奶咖啡,25
浓缩玛奇,25
里面加,25
没毛病,25
挺好看,25
值得推荐,25
里走,25
喝不出,24
豆铁,24
偏苦,24
一直没有,24
咖啡终于,24
口感非常,24
太懂,24
特别惊艳,24
打卡成都,24
态度很好,24
咖啡杯,24
找不到,24
风格简约,24
注册会员,24
特别喜欢,24
排队没有,23
铁加炼乳,23
确实有点,23
室内座位,23
感觉咖啡,23
说好喝,23
朋友喝,23
店位置,23
环境很好,23
来到成都,23
不算太多,23
过来打卡,23
人气旺,23
没有排,23
铁综合,23
口感很好,23
颜值很高,23
店里哥哥,23
会觉得,23
比较贵,23
杯量,23
牛奶味,22
喝杯咖啡,22
适合打卡,22
铁咖啡,22
没有觉得,22
咖啡会,22
真的爱,22
看到排队,22
咖啡品牌,22
排队很久,22
感觉味道,22
味道醇厚,22
微甜,22
觉得喝,22
排队太多,22
铁觉得,22
不懂咖啡,22
成都开业,22
终于喝到,22
喝燕麦,22
简风格,22
更浓郁,22
挺好找,22
排队话,22
咖啡比较,22
风格喜欢,21
必须打卡,21
有点小贵,21
国际网红,21
加冰,21
咖啡成都,21
值得试,21
开业排队,21
成都首家,21
味很浓,21
加奶,21
味道很好,21
柠檬特,21
价格偏高,21
没有喝,21
经常喝,21
咖啡种类,21
终于开,21
手咖啡,21
抹茶味道,21
干净整洁,21
喝感觉,21
价格真的,21
排队取,21
朋友杯,21
稍微有点,21
确实好喝,21
略高,21
打卡咖啡,20
应该会,20
有点腻,20
说咖啡,20
火全球,20
价格比星巴克,20
偶尔喝,20
铁确实,20
朋友西班牙,20
西班牙铁换,20
不会再来,20
咖啡豆,20
口感确实,20
成都网,20
感觉有点,20
奶香味,20
中纱帽,20
排队喝,20
成都好喝,20
太好喝,20
