word,frequence
饼干布朗尼,79
燕麦铁,71
冰燕麦,55
便利屋,51
咖啡便利,47
南瓜蛋糕,45
泰式铁,31
钯街,28
喝咖啡,25
新开,25
奶油面包,25
网红,24
义学巷,24
装修风格,24
一家店,24
薄荷环境,24
服务服务,20
咖啡味道,19
柚子茶美式,19
杯咖啡,18
太古里,17
杏仁铁,17
扁杏仁,17
烤扁,17
焦糖铁,16
燕麦奶,16
味道不错,16
一家咖啡店,16
太甜,16
太喜欢,15
适合拍照,15
冰铁,14
偏甜,14
很好找,14
真的太,13
乳酸菌苏打,13
焦糖饼干,13
杯冰,13
香脆焦糖,12
拍照好看,12
咖啡好喝,12
店员姐姐,12
想吃,12
热铁,12
个人觉得,12
环境不错,12
青提冷萃,11
服务姐姐,11
开咖啡店,11
口感不错,10
巷附,10
老板姐姐,10
喝起来,10
热美式,9
盐面包,9
晶融汇,9
红店,9
镋钯,9
气泡美式,9
热燕麦,9
姐姐说,9
咖啡味,9
特别喜欢,9
稍微有点,8
位置很好,8
奶泡,8
比较喜欢,8
柚子美式,8
蜜瓜美式,8
地址义学,8
吃起来,8
蜜瓜气泡,8
应该会,8
探店,8
喜欢喝,8
挺喜欢,7
环境很好,7
深烘,7
想象中,7
喝杯,7
服务很好,7
布朗尼南瓜,7
铁燕麦,7
小姐姐们,7
超可爱,7
姐姐热情,7
戚风蛋糕,7
店装修,7
铁好喝,7
烤杏仁,7
会有点,7
店铺装修,7
太可爱,7
店里姐姐,7
堂食,7
蛋糕好吃,7
冰美式,7
做咖啡,7
燕麦咖啡,7
推荐泰式,6
姐姐服务,6
喜欢风格,6
屋地址,6
日式风格,6
草莓奶油,6
杯铁,6
咖啡浓郁,6
橙子颂,6
店里氛围,6
伯爵茶,6
喜欢咖啡,6
有点日式,6
不会太,6
想尝试,6
偏苦,6
确实不错,6
踩雷,6
超喜欢,6
店里面,6
朋友说,6
开一家,6
杯白,6
咖啡喝,6
再试试,6
复古感觉,6
杯美式,6
真的好吃,6
美式真的,6
布朗尼好吃,6
橙子苏打,6
壶茶,6
杯热,6
非常温暖,6
很好喝,6
布朗尼蛋糕,6
泰式咖啡,6
会再来,5
奶油腻,5
想找,5
日文歌,5
配咖啡,5
喝下午茶,5
真的非常,5
环境比较,5
巧克力味,5
奶咖,5
喜欢味道,5
店环境,5
姐姐态度,5
日式复古,5
咖啡色系,5
氛围很好,5
燕麦味,5
味道没有,5
环境很棒,5
整体装修,5
深咖,5
美式咖啡,5
咖色,5
温暖感觉,5
感觉舒服,5
不会腻,5
单品豆,5
侦探柯南,5
很好拍,5
简直不要,5
老板说,5
觉得不错,5
茶奶油蛋糕,5
哆梦,5
吃口,5
开店,5
奶味,5
店面不大,5
咖啡便利店,5
春熙路附近,5
咖啡铁,5
比较推荐,5
打卡店,5
很顺滑,5
风格喜欢,5
布朗尼饼干,5
打卡拍照,5
微甜,4
味比较,4
布朗尼布朗尼,4
坐坐,4
不错选择,4
吃蛋糕,4
日式装修,4
菠萝冷萃,4
店不大,4
知道是不是,4
面包好吃,4
日语歌,4
颜值很高,4
想喝,4
东门大桥,4
杯燕麦,4
蛋糕体,4
位置义学,4
说咖啡,4
喝太,4
泰式奶茶,4
姐姐特别,4
杯冷萃,4
有点甜,4
青提,4
推荐饼干,4
咖啡确实,4
蛮喜欢,4
没错,4
咖啡姐姐,4
布朗尼真的,4
开咖啡馆,4
美式感觉,4
放歌,4
桌客人,4
喝口,4
真是太,4
姐姐温柔,4
拼配豆,4
态度很好,4
冰咖啡,4
巴斯克芝士,4
甜度刚刚好,4
推荐燕麦,4
太好吃,4
铁喜欢,4
南瓜味,4
适合朋友,4
喜欢吃,4
上面撒,4
隔壁桌,4
有点腻,4
布朗尼吃,4
整体感觉,4
试营业期间,4
发现一家,4
有点偏,4
上面饼干,4
不要太,4
太好喝,4
可可爱爱,4
真的好喝,4
里附近,4
呆午,4
推荐新品,4
棉花糖布朗尼,4
偏复古,4
热情推荐,4
朋友一起,4
柠檬海盐,4
咖啡杯,4
会更,4
咖啡师姐姐,4
约朋友,4
拍拍拍,4
服务挺好,4
门口咖啡,4
太好看,4
蛋糕口感,4
体验感,4
味道浓郁,4
喜欢拍照,4
找地方,4
桂花戚风,4
会再,4
味浓郁,4
布朗尼招牌,4
融汇对面,4
口感顺滑,4
喝杯咖啡,4
味道非常,4
稍显,4
系咖啡店,4
加冰,4
特别好看,4
比较找,4
布朗尼加热,4
值得试,4
特别推荐,4
疫情期间,4
会更好,4
比较淡,4
柚子酱,4
路过店,3
新出,3
不要错过,3
铁热,3
杯量,3
不错热,3
特别温柔,3
加糖,3
偏日式,3
茶咖啡,3
整体环境,3
感觉比较,3
完全不会,3
吃甜品,3
过来打卡,3
会耐心,3
值得推荐,3
巷子里,3
司康,3
非常推荐,3
整体风格,3
拍好看,3
比较复古,3
甜品口味,3
冬日里,3
蹚钯,3
喜欢店里,3
风格感觉,3
耐心介绍,3
奶咖啡,3
地铁春熙路,3
味道醇厚,3
更好吃,3
太舒服,3
糕体,3
非常系,3
懂咖啡,3
可爱店里,3
搭配咖啡,3
太懂,3
环境适合,3
味道感觉,3
说非常,3
打卡一家,3
找一家,3
老板热情,3
天气热,3
店整体,3
系风,3
好好喝,3
个人喜欢,3
买了杯,3
领应援,3
白葡萄,3
比利时焦糖,3
