word,frequence
网红,180
瓦当瓦舍,115
脏咖啡,89
薄荷环境,89
红店,80
环境不错,78
味道不错,76
喝咖啡,67
服务服务,66
适合拍照,60
黑松露,60
隐盐,56
姐姐拍照,47
装修风格,46
孜然肉酱,44
市医院,42
肉酱薄饼,41
瓦舍酒店,40
杯咖啡,40
环境很好,38
大众点评,37
韩国街头,36
很好找,35
慢煮鸡胸肉,35
王桥南街,35
一家店,35
酒店一楼,33
地中海慢煮,33
红打卡,33
打卡拍照,33
喝下午茶,32
漂亮姐姐,31
拍照打卡,30
气泡水,30
排队拍照,27
外面拍照,27
咖啡味道,27
探店,27
服务很好,26
太古里,26
适合朋友,25
提拉米苏,25
环境环境,23
拍照好看,23
低温蛋,23
松露低温,23
拍照姐姐,23
玫瑰海盐,22
真的太,22
红丝绒,22
宽意面,21
性价比很高,21
红咖啡店,20
吃起来,20
咖啡不错,20
酒店大堂,20
服务不错,20
三明治,19
脆脆,19
非常不错,19
工业风,19
海盐铁,19
态度很好,19
成都探,19
味道很好,19
环境真的,19
颜值很高,18
蛋意面,18
位置很好,18
个人觉得,18
脏脏,18
肉酱意面,17
一家网,17
空间很大,17
松露意面,17
比较少,17
医院地铁站,17
楼上酒店,17
南街瓦当,17
特别喜欢,17
真的不错,16
环境舒服,16
冰美式,16
太适合,16
红书,16
喜欢拍照,16
哥哥姐姐,16
环境非常,16
烩牛肉,15
太喜欢,15
丝绒铁,15
铁板鸡胸肉,15
味道真的,15
没有特别,15
坐午,15
服务态度很好,15
感觉不错,15
服务姐姐,15
拍拍拍,15
比较喜欢,15
首尔街头,14
穿搭,14
鸡胸肉饭,14
店环境,14
成都网,14
个人喜欢,14
环境比较,14
西柚养乐多,14
涂鸦墙,14
上菜速度,14
松露温泉蛋,14
店里面,13
适合办公,13
门口拍照,13
啤酒烩,13
肉酱配,13
配薄饼,13
黑糖脏,13
杯饮品,13
有点腻,13
比较安静,13
稍微有点,13
味道比较,13
不错选择,13
拍几张,13
环境安静,13
牛肉汉堡,13
旅行酒店,12
性价比高,12
适合下午茶,12
随便拍,12
朋友一起,12
服务服务员,12
下午茶套餐,12
朋友聚会,12
整体环境,12
意面好吃,12
好看姐姐,12
出率,12
拍照排队,12
爆炸冰淇淋,12
抹茶爆炸,12
建议穿,12
温泉蛋宽,12
口感不错,12
创意菜,12
巷子里,12
店装修,12
拍照片,12
轻食,11
拍好看,11
小姐姐,11
薄荷铁,11
炒鸡,11
医院站,11
觉得不错,11
味道没有,11
本来想,11
成都王桥,11
草莓气泡,11
有点偏,11
假装韩国,11
打卡网,11
奶味,11
地址王桥,11
一家酒店,11
端上来,11
咖啡简,11
口味比较,11
喝杯,11
环境店,11
拍照出,11
新开,11
设计感,11
颂三明,11
感觉比较,10
真的非常,10
拍照太多,10
冰薄荷,10
更适合,10
街头风,10
懒人沙发,10
网红墙,10
线市,10
黑黑牛肉,10
菜品味道,10
环境舒适,10
地铁线,10
瓦舍春熙路店,10
香肠拼盘,10
整体风格,10
医院口,10
朋友说,10
随手拍,10
店里环境,10
体验感,10
酒店大厅,10
团购套餐,10
会再来,10
王者战队,10
春熙路近,10
喜欢风格,10
店面很大,10
吃下午茶,10
很好出,10
有点慢,10
冲刺王者,10
特别适合,10
里面环境,9
吃简,9
草莓气,9
确实不错,9
蘸酱,9
比较清淡,9
咖啡甜品,9
味道还行,9
飞鸡,9
想吃,9
传统肉酱,9
口味不错,9
店拍照,9
拍照地方,9
挺好看,9
吃东西,9
坐坐,9
服务员热情,9
嚼劲,9
太甜,9
服务员姐姐,9
杯美式,9
柠檬挞,9
医院附近,9
意面味道,9
芝士薯条,9
服务员态度,9
瓦舍旅行,9
杯饮料,9
颜值高,9
杯冰,9
朋友小聚,9
有点失望,9
环境很棒,9
装修不错,8
春熙路附近,8
环境挺好,8
