word,frequence
燕麦铁,212
自带杯,206
桂花铁,148
自带杯子,138
抹茶巧克力,114
带杯子,99
燕麦奶,92
喝咖啡,89
杯减,81
奈雪茶,77
杯子减,77
网红,76
杯免费,68
杯咖啡,60
薄荷环境,54
桂花燕麦,52
服务服务,50
性价比很高,50
抹茶铁,49
味道不错,45
咖啡味道,45
免费喝,45
性价比高,42
奶泡,42
杯子免费,42
星爸爸,41
开业前,36
茶旁边,36
奶咖,35
奶味,32
写字楼一楼,31
太古里,30
咖啡味,29
很好找,29
桂花味,28
新开,27
杯白,26
前自带,25
红咖啡,25
个人觉得,25
外摆,25
抹茶味,24
喝口,24
买杯,24
杯铁,24
喜欢喝,23
冰铁,22
刚开业,22
喝杯,22
拉花,22
办公楼一楼,21
荔枝兰,21
一家咖啡店,21
口感不错,21
喝起来,21
牛奶咖啡,20
做咖啡,20
杯冰,20
唯品,20
咖啡品牌,20
桂花糖浆,20
奈雪旁边,20
开店,20
开一家,19
开到成都,19
想喝,19
拼配豆,19
哥哥姐姐,19
太喜欢,19
疫情期间,19
杯燕麦,19
位置很好,18
铁味道,18
丝滑,17
真的太,17
开在写字楼,17
冰燕麦,17
价格不贵,17
装修风格,17
姐姐说,17
巧克力抹茶,17
铁燕麦,17
咖啡价格,17
做杯,16
买咖啡,16
巧克力味道,16
成都店,16
杯抹茶,16
态度很好,16
精品咖啡,16
红咖啡店,16
隐藏菜单,16
杯子少,15
太甜,15
铁桂花,15
咖啡口感,15
开业自带,15
铁真的,15
成都开,15
服务很好,15
一家店,15
味道比较,15
再喝,15
带杯,15
一次性杯子,15
偏苦,14
提醒自带,14
红店,14
咖啡爱好者,14
咖啡喝,14
比较喜欢,14
买了杯,14
开业活动,14
店员姐姐,14
没有座位,14
铁好喝,14
燕麦桂花,14
价格真的,14
奈雪对面,14
成都咖啡,13
味比较,13
杯桂花,13
价格便宜,13
附近上班,13
味道真的,13
价格亲民,13
换燕麦,13
好喝咖啡,13
换成燕麦,13
冰橘皮,13
立减,13
推荐桂花,13
桂花香味,13
新店开业,13
冰甜铁,13
本来想,13
洪都拉斯荔枝,13
铁口感,12
朋友推荐,12
免费活动,12
写字楼大堂,12
只能说,12
上海网,12
一家咖啡,12
觉得味道,12
再减,12
喝桂花,12
冰美式,12
上海咖啡,12
咖啡性价比,12
喝燕麦,12
