word,frequence
提拉米苏,197
米酒铁,181
老小区,151
小区里面,134
小区里,119
特调,109
老板韩国,94
适合拍照,88
网红,74
薄荷环境,70
请回答,69
装修风格,68
喝咖啡,64
服务服务,58
咖啡味道,54
米酒特,49
韩国老板,43
味道不错,42
韩国欧巴,39
里面,38
较场坝中街,35
抹茶铁,35
探店,34
红店,34
鱼饼好吃,33
气泡水,32
姐姐拍照,31
一家店,30
趁热吃,28
工业风,28
很好找,28
红豆馅,27
米酒咖啡,27
进小区,27
个人觉得,26
韩国开,26
拍照打卡,25
打卡拍照,24
跟着导航,24
香草铁,24
小区进门,23
拍照好看,23
开在老,22
美式咖啡,21
小区一楼,21
咖啡好喝,21
一家韩国,21
鱼饼鱼饼,21
店里面,20
店装修,20
开在小区,20
开咖啡店,19
东苑小区,19
济州岛,19
脆脆,19
咖啡味,19
较场坝东苑,18
居民楼里,18
燕麦铁,18
老板女儿,18
芝士红豆,18
杯咖啡,18
米酒味道,18
米苏鱼饼,18
进门左手边,17
新开,17
鱼饼红豆,17
铁米酒,17
杯米酒,17
小区门口,17
比较喜欢,17
偏甜,16
式风格,16
一家咖啡店,16
韩国咖啡店,15
喝口,15
拍照姐姐,15
小区门,15
鱼饼味道,15
年代感,15
太喜欢,15
东门大桥,14
听说老板,14
里咖啡店,14
找不到,14
冰铁,14
韩国米酒,14
推荐米酒,14
送鱼饼,14
店小区,14
韩国哥哥,13
社区咖啡,13
中街小区,13
铁味道,13
红豆味,13
真的太,13
朋友说,13
藏老,13
整体风格,13
韩国感觉,13
女儿生日,13
店里姐姐,13
环境小区,13
铁鱼饼,12
红豆馅儿,12
喝杯,12
回答感觉,12
位置比较,12
现做,12
奶泡,12
太甜,12
芝士味,12
不好找,12
推荐鱼饼,12
里面红豆,12
巷子里,12
哥哥姐姐,12
杯白,12
踩雷,12
开一家,12
服务很好,12
适合朋友,12
假装韩国,11
奶味,11
送炒年糕,11
很好拍,11
吃鱼饼,11
开店,11
红豆芝士,11
特别适合,11
漂亮姐姐,11
环境不错,11
环境真的,11
坐在窗边,11
位置较场坝,11
风格喜欢,11
拍好看,11
咖啡不错,11
拍拍拍,11
鱼饼不错,11
手指饼干,11
可可爱爱,10
很好喝,10
位置很好,10
调咖啡,10
咖啡口感,10
店风格,10
吃提拉,10
鱼饼里面,10
服务姐姐,10
较场坝东街,10
院子里,10
藏小区,10
地址较场坝,10
拍照片,10
挺特别,10
芝士鱼饼,10
软糯,10
导航走,10
不太好找,10
店里装修,10
社区里,10
鱼饼芝士,10
太好吃,10
店环境,9
味道比较,9
环境环境,9
特别好吃,9
挺好看,9
喜欢喝,9
小姐姐,9
社区咖啡店,9
想象中,9
比较特色,9
喜欢风格,9
意式,9
鲫鱼饼,9
韩国小哥哥,9
热巧克力,9
整体装修,9
米苏好吃,9
冰美式,9
鱼饼可爱,9
真的太多,9
装修简单,9
知道是不是,9
喝起来,9
红豆鱼饼,9
朋友一起,9
味道还行,9
挺好喝,9
韩国风格,9
超可爱,9
咖啡鱼饼,9
居民区里,9
太适合,9
韩国鱼饼,8
值得打卡,8
随便拍,8
本来想,8
成都探,8
老板说,8
里面拍照,8
进门左边,8
应该会,8
米苏味道,8
门进去,8
味道中规中矩,8
鱼饼趁热,8
文妈香肠,8
老板会,8
位置小区,8
过来拍照,8
调米酒,8
店员姐姐,8
想吃,8
服务老板,8
老社区,8
米苏提拉,8
欧巴开,8
店真的,8
饮善,8
烟火气,8
朋友推荐,8
韩国咖啡馆,8
老板送,8
吃起来,8
环境店,8
真的非常,8
咖啡真的,8
咖啡香味,8
非常喜欢,8
小区铁门,8
爱爱,8
做咖啡,8
喜欢拍照,8
比较特别,8
咖啡米酒,8
偏苦,8
干桂花,8
杯铁,8
鱼饼提拉,8
韩剧请,8
姐姐温柔,7
鱼饼真的,7
端上来,7
复古风格,7
小区大门,7
环境复古,7
装修比较,7
好像韩国,7
喝下午茶,7
配咖啡,7
店面不大,7
装修真的,7
麻将馆,7
性价比很高,7
里面咖啡店,7
比较找,7
颜值高,7
店位置,7
韩剧里,7
不会腻,7
环境比较,7
装修复古,7
鱼饼米酒,7
比较少,7
墙上韩文,7
真的很好,7
杯特,7
打卡一家,7
咖啡香气,7
米苏酒味,7
铁咖啡,7
拍照地方,7
环境位置,7
服务店里,7
没喝,7
态度很好,7
推荐提拉,7
环境老,7
米苏不错,7
老电视,7
风格咖啡店,7
米苏真的,7
个人喜欢,7
服务店员,7
居民小区里,7
有点苦,7
特色米酒,7
社区店,7
朋友喝,7
韩国咖啡,6
觉得不错,6
口感比较,6
风装修,6
咖啡口味,6
韩式复古,6
店铺装修,6
穿越请,6
咖啡融合,6
会再,6
装修设计,6
红咖啡店,6
韩国咖啡厅,6
种草很久,6
约朋友,6
招牌米酒,6
老板开,6
融合一起,6
韩式咖啡店,6
很好出,6
鱼饼口味,6
丝滑,6
怀旧风格,6
比较隐蔽,6
蛋糕体,6
真的挺,6
味道很好,6
非常适合拍照,6
老板热情,6
会更,6
韩国小哥,6
服务不错,6
送年糕,6
独立咖啡店,6
米苏有点,6
桂花香气,6
有点甜,6
店之前,6
看到店,6
环境装修,6
丢丢,6
刚烤,6
会再来,6
没有特别,6
挺喜欢,6
喝米酒,6
口下去,6
巧克力酱,6
真的爱,6
真的超,6
风格真的,6
没找到,6
米酒味,6
咖啡太,6
位置有点,6
咖啡杯,6
鱼饼挺好吃,6
穿越感,6
值得试,6
手咖啡,6
喜欢喜欢,6
置身韩国,6
想象中的,6
店里咖啡,6
鱼饼现,6
发朋友圈,6
真的不错,6
喜欢吃,6
咖啡有点,6
太爱,6
成都开,6
出率,6
铁真的,6
烤鱼饼,6
小区居民,6
现烤,6
没喝过,6
店面装修,6
刚开业,6
味道偏,6
一家咖啡馆,6
韩国复古,6
咖啡比较,6
想起请,6
真的韩国,5
老校区,5
喜欢咖啡,5
糯糯,5
店老板,5
做不错,5
里面加,5
气泡美式,5
装修非常,5
居民楼改造,5
随手拍,5
太懂,5
赠送炒年糕,5
非常礼貌,5
走进小区,5
环境店里,5
绕一大,5
咖啡店小区,5
韩式榻榻米,5
杯抹茶,5
率很高,5
喜欢提拉,5
挺适合,5
稍微有点,5
体验感,5
有点酸,5
适合姐姐,5
真的好喝,5
窗边位置,5
适合姐妹,5
小区看到,5
不要太,5
造型可爱,5
疫情期间,5
整体不错,5
姐姐态度,5
会送,5
韩国大叔,5
适合闺蜜,5
好喝咖啡,5
甜度刚好,5
只能说,5
整体环境,5
店里拍照,5
韩风一家,5
环境很棒,5
不会太,5
朋友白,5
非常好吃,5
韩国元素,5
老旧小区,5
成都人民,5
咖啡品质,5
一家老,5
味道正常,5
坝中街,5
新店开业,5
非常棒,5
一家网,5
开咖啡馆,5
特别好看,5
喜欢米酒,5
深烘,5
非常非常,5
蛮不错,5
外酥,5
较场坝街,5
有点吵,5
较场坝老,5
咖啡店老板,5
没有惊艳,5
有点偏,5
值得推荐,5
姐姐打卡,5
一家藏,5
非常特色,5
杯口桂花,5
式咖啡,5
小鱼饼,5
铁好喝,5
外带杯,5
空间很大,5
韩剧感觉,5
听说韩国,5
韩剧里面,5
复古咖啡店,5
米苏蛋糕,5
冰咖啡,5
咖啡店里,5
一家社区,5
热可可,5
复古装修,5
据说韩国,5
小区进去,5
挺好找,5
咖啡店环境,5
一家咖啡厅,5
韩国复古风,5
会有点,5
老板韩国人,5
大众点评,5
咖啡店老,5
蛋烘糕,5
鱼饼没有,5
发现一家,5
楼较场坝,5
味道挺好,5
会比较,5
没有看到,5
东街单元,5
大桥地铁站,5
单元楼,5
空间意思,5
韩国味道,5
推荐指数,5
隐藏老,5
红打卡,5
味道有点,5
口味不错,5
喜欢味道,5
偶然发现,5
火一家,5
感觉不错,5
超好吃,5
应该韩国,5
拍照服务,5
老板好像,5
服务态度很好,5
加米酒,5
热铁,5
咖啡送,5
成都咖啡店,5
进去左手边,5
容易找到,5
想喝,5
据说老板,5
酒味足,4
白中规中矩,4
装修挺,4
店员说,4
铁酒味,4
藏居民,4
饮品米酒,4
找路,4
喜欢感觉,4
木质桌椅,4
喜欢复古,4
铁口感,4
服务进门,4
终于拔草,4
口感不错,4
店鱼饼,4
口感细腻,4
堂食,4
会中文,4
韩国小吃,4
独立咖啡馆,4
环境韩国,4
整体感觉,4
感觉特别,4
非常韩国,4
店没有,4
甜品提拉,4
铁不错,4
风格挺,4
有点复古,4
味道觉得,4
问老板,4
适合拍,4
挺浓,4
店员哥哥,4
老板贴心,4
杯手,4
拍照出,4
卡姐姐,4
杯冰,4
不要错过,4
太可爱,4
红豆口味,4
鱼饼,4
感觉服务,4
空间比较,4
开韩国,4
拍照朋友,4
觉得没有,4
影响口感,4
真的好吃,4
咖啡没有,4
听朋友,4
醪糟味,4
很好拍照,4
红豆味道,4
校场坝,4
微苦,4
白白,4
想试试,4
拍照挺,4
做旧墙面,4
没什么特别,4
酒味很浓,4
生日命名,4
做旧风格,4
咖啡爱好者,4
店氛围,4
再试试,4
社区里面,4
咖啡选择,4
拍照真的,4
搭配咖啡,4
觉得有点,4
感觉挺,4
好好吃,4
进去感觉,4
咖啡师韩国,4
甜度合适,4
感觉很棒,4
酒酿铁,4
成都一家,4
小区咖啡店,4
特别喜欢,4
确实有点,4
味道还好,4
咖啡馆里,4
老板推荐,4
老板可爱,4
年糕好吃,4
看着舒服,4
觉得味道,4
颜值很高,4
酥里,4
店里没有,4
一直喜欢,4
吃韩国,4
铁推荐,4
比较淡,4
没有喝,4
味比较,4
咖啡店开在,4
感觉太,4
没吃,4
下面蛋糕,4
位置特别,4
偏淡,4
咖啡中规中矩,4
坐在里面,4
没有位置,4
米苏没有,4
开在成都,4
一家小区,4
太腻,4
